Hacked target, DeFi Exploit Name,Description, Amount of loss, Attack method, Time, Source,,,,,,
Crema Finance ,,"~$8.8M skimmed off the top. Crema Finance, a concentrated liquidity AMM on Solana, was exploited into issuing millions in excess LP fees.","8,800,000",Flash Loan,07/02/2022,https://rekt.news/crema-finance-rekt/,,,,,,
Crypto.com ,,"The first message from crypto.com about the attack was at Jan-17-2022 04:44 AM UTC, stating that: ”We have a small number of users reporting suspicious activity on their accounts. We will be pausing withdrawals shortly, as our team is investigating. All funds are safe.”","33,700,000",insider attack,01/18/2022,https://rekt.news/cryptocom-rekt/,,,,,,
Curio ,,"Curio's MakerDAO-based smart contract on Ethereum was exploited for $16 million, due to a critical vulnerability involving voting power privileges.","16,000,000",Contract Vulnerability Exploit,03/23/2024,https://rekt.news/curio-rekt/,,,,,,
Curve Finance ,,"Curve Finance’s principal front end, curve.fi, fell victim to a DNS hijacking yesterday, in which users were prompted to approve a malicious contract. Approximately $575k was stolen from users who approved, with proceeds being sent to CEXs and Tornado Cash.","575,000",DNS hijacking,08/09/2022,https://rekt.news/curve-finance-rekt/,,,,,,
"Curve, Vyper ",,"The root cause was in fact a 0-day compiler bug in certain older versions of Vyper, the language Curve’s contracts are written in. A misalignment of storage slots between two functions (add_liquidity and remove_liquidity) causes a malfunction in the nonreentrant guard. This allows the attacker/s to re-enter the transaction between these two functions in order to manipulated LP token prices and drain the pool.","69,300,000",re-entrancy incidents,07/30/2023,https://rekt.news/curve-vyper-rekt/,,,,,,
Compounder Finance ,,"Compounder.finance was rug pulled for over $12,000,000. The compounder.finance site and Twitter account were deleted instantly. A completed security audit offered our detectives the only lead.","12,000,000",rug pull,12/02/2020,https://rekt.news/deathbed-confessions-c3pr/,,,,,,
DeFiLabs ,,"Yesterday, DeFiLabs rugged $1.6M from its users on BSC via a backdoor function in their staking contract.","1,600,000",insider attack,07/27/2023,https://rekt.news/defilabs-rekt/,,,,,,
Deribit ,,"Deribit, the “World's biggest Bitcoin and Ethereum Options Exchange” has lost $28M from their hot wallets on the Ethereum and Bitcoin networks.","28,000,000",phishing attack,11/01/2022,https://rekt.news/deribit-rekt/,,,,,,
Deus DAO ,,"It’s a hat trick for Deus DAO. Token holders lost a total of ~$6.5M on Arbitrum, BSC and Etherum, and the DEI stablecoin depegged over 80%.","6,500,000",Contract Vulnerability Exploit,05/05/2023,https://rekt.news/deus-dao-r3kt/,,,,,,
Deus DAO ,,"An unexpected plot twist saw Deus DAO users liquidated via a flash loan attack on the recently launched DEI lending contract, with the attacker making ~$3M profit.","3,000,000",flash loan,03/15/2021,https://rekt.news/deus-dao-rekt/,,,,,,
Dexible ,,"The decentralised exchange aggregator, Dexible lost a total of $2M on Friday, on Ethereum and Arbitrum.","2,000,000",Contract Vulnerability Exploit,02/17/2023,https://rekt.news/dexible-rekt/,,,,,,
MM BITCOIN,,"Centralized Japanese crypto exchange DMM Bitcoin exploited for more than $304 million in Bitcoin, the biggest hack since Dec 2022 and one of the largest crypto hacks ever. Initially reported by Whale Alert as 4,502 BTC being transferred from an unknown wallet to an unknown new wallet.","304,000,000",compromised multisig,05/30/2024,https://rekt.news/dmm-rekt/,,,,,,
dYdX ,,dYdX lost 40% of its v3's insurance fund ($9M) in a ‘targeted attack’ involving manipulation of Yearn’s YFI token.,"9,000,000",price manipulation,11/18/2023,https://rekt.news/dydx-rekt/,,,,,,
Kucoin ,,"After what was described as an “unplanned movement of funds” on September 26th, Kucoin has reassured their users that all assets stolen in the hack will be returned and that Kucoin is fully insured for this scenario. Kucoin originally stated that the stolen tokens had a value of at least $150m, however some are estimating the true value to be as high as $280m, as more wallets are linked to the attack.","45,000,000",,09/29/2020,https://rekt.news/epic-hack-homie/,,,,,,
EraLend ,,"Yesterday, EraLend, a lending platform on zkSync Era, lost $3.4M to the rampant read-only reentrancy bug plaguing protocols across the cryptosphere.","3,400,000",re-entrancy incidents,07/25/2023,https://rekt.news/eralend-rekt/,,,,,,
Exactly Protocol ,,"Exactly Protocol becomes the latest victim of this summer’s on-chain crime spree, after being hit for $7.2M.","7,200,000",Contract Vulnerability Exploit,08/18/2023,https://rekt.news/exactly-protocol-rekt/,,,,,,
Fei Rari ,,"Between approximately 9:00 and 9:35 AM UTC on April 30th, seven of Rari’s Fuse pools were drained for a total of ~$80M. Despite claiming “none of the arbitrum pools are vulnerable”, the attack continued on Arbitrum today, though the losses (~100 ETH) were minimal in comparison.","80,000,000",re-entrancy incidents,05/01/2022,https://rekt.news/fei-rari-rekt/,,,,,,
Fortress Protocol ,,"Fortress Protocol, the lending arm of JetFuel Finance on BSC, was pillaged for $3M yesterday. Weak fortifications surrounding the project’s oracle and governance process allowed the invading hacker to pass a malicious proposal and manipulate the price of collateral.","3,000,000",price manipulation,05/08/2022,https://rekt.news/fortress-rekt/,,,,,,
Gala Games ,,"Possible hacker seized control of an admin address to mint a whopping 5 billion GALA tokens worth $216 million, rapidly offloading 592 million tokens for $21.8 million in ETH before Gala Games could blacklist the rogue address. Devops199fan noticed that someone minted 5 billion GALA tokens and had been dumping them in batches of 100 ETH on 0xProject.","216,000,000",access control,05/20/2024,https://rekt.news/gala-games-rekt/,,,,,,
Gamma Strategies ,,"Gamma Strategies, an Arbitrum-based concentrated liquidity management protocol, was exploited for at least $4.5M, earlier today.","4,500,000",price manipulation,01/04/2024,https://rekt.news/gamma-strategies-rekt/,,,,,,
Grand Base ,,Grand Base slammed in a $2m exploit due to a deployer wallet private key leak.,"2,000,000",compromised keys,04/15/2024,https://rekt.news/grand-base/,,,,,,
Gym Network ,,"Gym Network offers a “perfect workout for your tokens”, but has pushed itself to failure. A recently introduced feature led to a loss of $2.1M from the project, crashing the price of GYMNET as the stolen tokens were sold off.","2,100,000",Contract Vulnerability Exploit,06/08/2022,https://rekt.news/gymnet-rekt/,,,,,,
Hack Epidemic ,Cheese Bank,no description,"8,000,000",re-entrancy incidents,11/17/2020,https://rekt.news/hack-epidemic/,,,,,,
Harmony Bridge ,,"Harmony has hit a bum note. To the tune of $100M. This is the 3rd bridge in the top 10, and the second drained via compromised private keys. Over 14 hours after the first funds began to move, the theft was announced.","100,000,000",compromised multisig,06/23/2022,https://rekt.news/harmony-rekt/,,,,,,
"HECO Bridge, HTX ",,"Today, another $99M went missing as two Sun-linked projects were hacked in short succession. $86.6M was lost from HECO (Huobi ECO) Chain’s Ethereum bridge, and $12.5M from hot wallets belonging to HTX (formerly Huobi).","99,000,000",-,11/22/2023,https://rekt.news/heco-htx-rekt/,,,,,,
Hedgey Finance ,,Hedgey Finance rocked by $44.7 million flash loan attack across both the Arbitrum and Ethereum platforms.,"44,700,000",flash loan,04/19/2024,https://rekt.news/hedgey-finance-rekt/,,,,,,
Hope Finance ,,$1.86M was stolen from Hope Finance on Monday.,"1,860,000",Rug Pull,02/20/2023,https://rekt.news/hope-finance-rekt/,,,,,,
HTX (Huobi) ,,"Yesterday, Justin Sun announced a $7.9M hack on HTX (formerly Huobi), less than 12 hours after Mixin Network admitted to a $200M loss.","7,900,000",-,09/24/2023,https://rekt.news/htx-huobi-rekt/,,,,,,
Hypr Network ,,"Yesterday, gaming-focused L2 Hypr Network lost 2.57M HYPR (approx $220k) to a bridge exploit just two days after launch.","220,000",supply chain,12/13/2023,https://rekt.news/hypr-network-rekt/,,,,,,
JayPegs Automart ,,We hit a new low. A blue-chip rekt by a front-end attack.A developer who had been contracted to work on the MISO auction for “JayPegs Automart” inserted his own wallet address into the contract instead of the auctionWallet.,"3,100,000",supply chain,09/17/2021,https://rekt.news/jaypegs-automart-rekt/,,,,,,
Jimbo's Protocol ,,"Jimbo’s Protocol was hit with a flash loan attack in the early hours of Sunday, losing $7.5M.","7,500,000",flash loan,05/28/2023,https://rekt.news/jimbo-rekt/,,,,,,
Kannagi Finance ,,"Kannagi Finance, a yield aggregator on zkSync pulled the rug on Saturday. Before the incident the project had $2.1M TVL according to DeFiLlama (now just $0.17), but the scammer only got away with around $1.1M.","2,100,000",Rug Pull,07/29/2023,https://rekt.news/kannagi-finance-rekt/,,,,,,
Kokomo Finance ,,"This time, Kokomo Finance took off with approximately $4M, deleting their website, Twitter, GitHub and Medium in the process.","4,000,000",rug pull,03/26/2023,https://rekt.news/kokomo-finance-rekt/,,,,,,
Kronos Research ,,"Market maker Kronos Research lost $26M over the weekend, leading to liquidity issues on closely-associated CEX, Woo X.","26,000,000",compromised keys,11/18/2023,https://rekt.news/kronos-rekt/,,,,,,
KyberSwap ,,"OG decentralised exchange KyberSwap is the latest project to fall victim, getting rekt across six chains for a total loss of over $48M.","48,000,000",flash loan,11/22/2023,https://rekt.news/kyberswap-rekt/,,,,,,
LastPass Users ,,"The loss of funds is believed to be down to security breaches at LastPass last year. An initial, direct hack in August led to a breach of a third-party cloud storage provider, in November.","37,000,000",compromised keys,12/14/2022,https://rekt.news/lastpass-users-rekt/LCX ,,$7.94M stolen. LCX is the latest CEX to have suffered a private key exploit. The attack began around 10:30 PM +UTC on January 8th.,"7,940,000",compromised keys,01/08/2022,https://rekt.news/lcx-rekt/
Levana Protocol ,,"Perps platform Levana Protocol lost over $1.1M, or approximately 10% of the protocol’s liquidity, to an oracle manipulation attack lasting almost two weeks.","1,146,000",Oracle Manipulation,12/13/2023,https://rekt.news/levana-rekt/,,,,,,
"Lucky Star Currency, FSL ",,"While SBF's trial occupies the attention of the crypto hivemind, it's business as usual on BSC… $2.79M has been rugged already this week across two BSC-based shitcoin projects.","2,790,000",rug pull,10/09/2023,https://rekt.news/LSC-FSL-rekt/,,,,,,
MM Finance ,,"Mad Meerkat Finance (not to be confused with normal Meerkat Finance) is in the hole, to the tune of $2M. The Cronos-based DEX had its front-end exploited, resulting in losses of over $2M for its users.","2,000,000",DNS Hijacking,05/04/2022,https://rekt.news/madmeerkat-finance-rekt/,,,,,,
Merlin Lab,Merlin Lab,"Just 8 hours after the first attack, they lost another ~200 ETH to a completely different exploit.","550,000",Oracle Manipulation,05/26/2021,https://rekt.news/merlin2-rekt/,,,,,,
Merlin Lab,Merlin Lab,"A total of $330k was stolen, bringing their TVL (total value lost) to $1,560,000, and putting them on par with Value DeFi as one of the few protocols to be so unsafe that they have three positions onto the rekt leaderboard.","330,000",Contract Vulnerability,05/26/2021,https://rekt.news/merlin3-rekt/,,,,,,
Midas Capital ,,"The Midas touch has backfired, leaving a $660K hole in one of its pools of Jarvis Network’s jFIAT assets. Midas recently added WMATIC-stMATIC Curve LP token for use as collateral. These tokens have a read-only reentrancy vulnerability which allows the token's virtual price to be manipulated when improperly implemented.","660,000",flash loan,01/15/2023,https://rekt.news/midas-capital-rekt/,,,,,,
Midas Capital ,,"On Saturday, one of the lending protocol’s pools was exploited for $600k on BSC. The exploit was made possible due to a rounding vulnerability in the redeem counter, affecting interest rate calculation (as in April’s Hundred Finance incident).","600,000",Contract Vulnerability Exploit,06/17/2023,https://rekt.news/midas-rekt2/,,,,,,
